Dep_Airport_ID,ARP_Latitude,ARP_Longitude,Schedule,"Runway ID",Length,Width,"Surface Type Condition","Edge Light Intensity","WBC Single","WBC Dual","WBC Two Dual","WBC Tandem Two Dual","Base Marking Condition"
LBL,037-02-38.1200N,100-57-35.8900W,ALL/MON-FRI/0600-2000,04/22,5000,75,CONC-E,MED,30,60,,,G
LBL,037-02-38.1200N,100-57-35.8900W,ALL/SAT-SUN/0700-2000,17/35,7105,100,CONC-E,HIGH,80,100,,,G
LBL,037-02-38.1200N,100-57-35.8900W,ALL/MON-FRI/0600-2000,17/35,7105,100,CONC-E,HIGH,80,100,,,G
IAB,037-37-23.2200N,097-16-03.4700W,ALL/ALL/ALL,01R/19L,12007,150,ASPH-F,HIGH,,,,,F
IAB,037-37-23.2200N,097-16-03.4700W,ALL/ALL/ALL,01L/19R,12000,150,ASPH-CONC,HIGH,,,,,
EWK,038-03-25.5700N,097-16-30.8200W,ALL/ALL/0700-2300,08/26,3501,60,ASPH-G,MED,13,,,,G
EWK,038-03-25.5700N,097-16-30.8200W,ALL/ALL/0700-2300,17/35,7003,100,CONC-G,HIGH,50,75,135,,G
TOP,039-04-07.7600N,095-37-20.5500W,ALL/ALL/0700-2100,13/31,5099,100,ASPH-G,HIGH,50,72,110,,G
TOP,039-04-07.7600N,095-37-20.5500W,ALL/ALL/0700-2100,18/36,4331,75,ASPH-G,MED,60,80,96,,F
ICT,037-38-59.8300N,097-25-58.9500W,ALL/ALL/ALL,01L/19R,10302,150,CONC-G,HIGH,100,210,300,,G
ICT,037-38-59.8300N,097-25-58.9500W,ALL/ALL/ALL,14/32,6301,150,CONC-G,HIGH,100,190,280,,G
ICT,037-38-59.8300N,097-25-58.9500W,ALL/ALL/ALL,01R/19L,7302,150,CONC-G,HIGH,125,240,400,,G
PAH,037-03-37.0400N,088-46-22.6500W,ALL/ALL/0500-1800,14/32,5499,150,ASPH-G,MED,75,100,170,,G
PAH,037-03-37.0400N,088-46-22.6500W,ALL/ALL/0500-1800,05/23,6500,150,ASPH-G,HIGH,76,99,170,,G
SJS,037-45-03.6700N,082-38-12.0700W,ALL/ALL/0800-DUSK,03/21,5000,100,ASPH-E,MED,19,,,,G
BWG,036-57-52.3000N,086-25-10.8000W,ALL/ALL/ALL,03/21,6501,150,ASPH-G,HIGH,120,221,358,,F
BWG,036-57-52.3000N,086-25-10.8000W,ALL/ALL/ALL,12/30,3956,150,ASPH-P,MED,25,40,,,G
FFT,038-10-54.2300N,084-54-24.3000W,ALL/SAT-SUN/0900-1800,07/25,5506,100,ASPH-G,MED,76,100,82,,G
FFT,038-10-54.2300N,084-54-24.3000W,ALL/MON-FRI/0700-2000,07/25,5506,100,ASPH-G,MED,76,100,82,,G
GLW,037-01-54.4000N,085-57-13.5200W,ALL/MON-SAT/0800-1700,08/26,5302,100,ASPH-G,MED,43,62,,,G
LOZ,037-05-12.8000N,084-04-38.6000W,NOV-MAR/MON-FRI/0700-1900,06/24,5751,150,ASPH-G,MED,61,82,151,,G
LOZ,037-05-12.8000N,084-04-38.6000W,APR-OCT/SAT-SUN/0800-2000,06/24,5751,150,ASPH-G,MED,61,82,151,,G
LOZ,037-05-12.8000N,084-04-38.6000W,APR-OCT/MON-FRI/0700-2000,06/24,5751,150,ASPH-G,MED,61,82,151,,G
LOZ,037-05-12.8000N,084-04-38.6000W,NOV-MAR/SAT-SUN/0800-1900,06/24,5751,150,ASPH-G,MED,61,82,151,,G
2I0,037-21-21.3400N,087-23-53.5900W,ALL/SAT-SUN/0800-1700,05/23,6051,100,ASPH-F,HIGH,92,127,,,F
2I0,037-21-21.3400N,087-23-53.5900W,ALL/HOLIDAY/0800-1700,05/23,6051,100,ASPH-F,HIGH,92,127,,,F
2I0,037-21-21.3400N,087-23-53.5900W,ALL/MON-FRI/0700-1700,05/23,6051,100,ASPH-F,HIGH,92,127,,,F
M25,036-46-10.7000N,088-35-04.8000W,ALL/ALL/0700-1500,01/19,5002,100,ASPH-F,MED,16,,,,P
IOB,038-03-29.3000N,083-58-46.5000W,ALL/ALL/0800-1800,03/21,5000,75,ASPH-G,MED,20,,,,G
EKQ,036-51-19.0000N,084-51-22.1000W,ALL/SUN/UNATNDD,03/21,4000,75,ASPH-G,MED,12,,,,P
EKQ,036-51-19.0000N,084-51-22.1000W,ALL/MON-SAT/0830-1730,03/21,4000,75,ASPH-G,MED,12,,,,P
