Dep_Airport_ID,ARP_Latitude,ARP_Longitude,Facility_Type,Wind_Indicator,Runway_ID,Num_of_Runways,Length,Width,Surface_Type_Condition,Edge_Light_Intensity,WBC_Single,WBC_Dual,WBC_Two_Dual,WBC_Tandem_Two_Dual,Base_Marking_Condition
SAC,038-30-46.3000N,121-29-35.8800W,AIRPORT,Y-L,02/20,3,5503,150,ASPH-G,MED,60,130,210,,G
MCC,038-40-03.5000N,121-24-02.2000W,AIRPORT,Y,16/34,5,10599,150,CONC-G,HIGH,155,300,500,,G
SNS,036-39-46.0300N,121-36-22.9200W,AIRPORT,Y-L,08/26,3,6004,150,ASPH-G,MED,25,32,62,,G
SNS,036-39-46.0300N,121-36-22.9200W,AIRPORT,Y-L,13/31,3,4825,150,ASPH-G,HIGH,65,100,170,,G
SBD,034-05-43.3000N,117-14-05.6000W,AIRPORT,Y-L,06/24,1,10000,200,CONC-E,HIGH,97,265,890,960,G
SAN,032-44-00.8300N,117-11-22.7900W,AIRPORT,Y-L,09/27,1,9401,200,ASPH-CONC-E,HIGH,100,150,250,720,G
SFO,037-37-07.7000N,122-22-31.5000W,AIRPORT,Y-L,10R/28L,4,11381,200,ASPH-G,HIGH,75,200,400,877,G
SFO,037-37-07.7000N,122-22-31.5000W,AIRPORT,Y-L,01L/19R,4,7650,200,ASPH-G,HIGH,75,200,400,877,G
SFO,037-37-07.7000N,122-22-31.5000W,AIRPORT,Y-L,01R/19L,4,8650,200,ASPH-G,HIGH,75,200,400,877,G
SFO,037-37-07.7000N,122-22-31.5000W,AIRPORT,Y-L,10L/28R,4,11870,200,ASPH-G,HIGH,75,200,400,877,G
SJC,037-21-46.7800N,121-55-43.0300W,AIRPORT,Y-L,12L/30R,2,11000,150,CONC-G,HIGH,220,250,605,,G
SJC,037-21-46.7800N,121-55-43.0300W,AIRPORT,Y-L,12R/30L,2,11000,150,CONC-G,HIGH,220,250,605,875,G
SBP,035-14-14.2000N,120-38-33.4000W,AIRPORT,Y-L,07/25,2,2500,100,ASPH-G,,12,12,,,G
SBP,035-14-14.2000N,120-38-33.4000W,AIRPORT,Y-L,11/29,2,6101,150,ASPH-G,HIGH,112,147,,,G
SNA,033-40-32.3800N,117-52-05.6400W,AIRPORT,Y-L,02L/20R,3,5700,150,ASPH-G,HIGH,70,200,300,,G
SNA,033-40-32.3800N,117-52-05.6400W,AIRPORT,Y-L,02R/20L,3,2886,75,ASPH-G,MED,25,60,,,G
SBA,034-25-34.2900N,119-50-29.3700W,AIRPORT,Y-L,15R/33L,3,4184,100,ASPH-G,MED,48,63,100,,G
SBA,034-25-34.2900N,119-50-29.3700W,AIRPORT,Y-L,07/25,3,6052,150,ASPH-G,HIGH,110,160,245,,G
SBA,034-25-34.2900N,119-50-29.3700W,AIRPORT,Y-L,15L/33R,3,4180,75,ASPH-G,,35,41,63,,G
SMX,034-53-59.8000N,120-27-29.1000W,AIRPORT,Y-L,12/30,2,8004,150,ASPH-G,HIGH,75,181,400,,G
SMX,034-53-59.8000N,120-27-29.1000W,AIRPORT,Y-L,02/20,2,5199,75,ASPH-G,,70,90,150,,G
STS,038-30-34.9000N,122-48-46.4000W,AIRPORT,Y-L,02/20,2,5202,100,ASPH-G,MED,109,154,254,,G
STS,038-30-34.9000N,122-48-46.4000W,AIRPORT,Y-L,14/32,2,6000,150,ASPH-G,HIGH,120,184,300,,G
MIT,035-30-26.9200N,119-11-31.6700W,AIRPORT,Y-L,08/26,3,3680,60,ASPH-G,,125,,,,G
MIT,035-30-26.9200N,119-11-31.6700W,AIRPORT,Y-L,12/30,3,4501,100,ASPH-G,MED,22,,,,G
MIT,035-30-26.9200N,119-11-31.6700W,AIRPORT,Y-L,17/35,3,2972,100,CONC-G,,25,30,,,G
