Site Id,Loc Id,ICAO Id,State Id,Sequence,Schedule
00751.14*H,AZ07,,AZ,1,ALL/MON-FRI/0730-1600
00751.15*H,AZ20,,AZ,1,UNATNDD
00751.19*H,AZ24,,AZ,1,UNATNDD
00751.23*H,67AZ,,AZ,1,UNATNDD
00751.24*H,5AZ2,,AZ,1,UNATNDD
00751.26*H,AZ30,,AZ,1,UNATNDD
00751.27*H,AZ29,,AZ,1,UNATNDD
00751.29*H,AZ33,,AZ,1,UNATNDD
00751.33*H,20E,,AZ,1,UNATNDD
00751.35*H,AZ48,,AZ,1,UNATNDD
00751.37*H,AZ62,,AZ,1,UNATNDD
00751.43*H,AZ95,,AZ,1,UNATNDD
